category,code,description
Basic sample statistics,Publication type,"Journal article / Conference paper"
Basic sample statistics,Source,"Journal title or conference name"
Basic sample statistics,Publication year,"Year of publication (e.g. 2024 / 2025)"
Basic sample statistics,Country,"Country of the study context"
Basic sample statistics,Educational level,"K–12 / Undergraduate / Postgraduate / Adult–continuing education"
Basic sample statistics,Disciplinary context,"Discipline and/or course (e.g. computer science, education, medicine)"
Methodological characteristics,Study design,"Experimental / Quasi-experimental / One-group pre–post / Case study / Observational–descriptive"
Methodological characteristics,Research approach,"Quantitative / Qualitative / Mixed methods"
Contextual characteristics,Intervention duration,"Single-session / Multi-session (specify number of sessions or weeks)"
Contextual characteristics,Collaborative task type,"Argumentation/inquiry tasks / Design-oriented & knowledge-creation tasks / Collaborative problem-solving (CPS) tasks"
Contextual characteristics,Temporal modality,"Synchronous / Asynchronous / Mixed"
Contextual characteristics,Communication modality,"Text-based / Audio / Face-to-face / Multimodal"
Contextual characteristics,Group size,"Number of human participants per group"
GenAI system configuration,GenAI model,"Any specific model mentioned (e.g. GPT-4, Claude, LLaMA)"
GenAI system configuration,System architecture,"Any system architecture described (e.g. single LLM, multi-agent, RAG)"
GenAI system configuration,Integration mode,"Embedded in platform/app / Externally accessed as standalone tool"
GenAI system configuration,GenAI access mode,"Shared / group-facing / Individual-private / Mixed"
GenAI system configuration,Agent configuration,"Single agent / Multi-agent (for shared/group-facing only)"
GenAI system configuration,GenAI role,"Tool-like (reactive) / Scaffold (proactive or triggered) / Adaptive collaborator / Socio-cognitive teammate"
GenAI system configuration,Real-time analytics system,"Any real-time monitoring / diagnosis / adaptive intervention described"
GenAI system configuration,Design framework,"Any pedagogical theories or frameworks guiding GenAI system design"
Data,Data source,"Discourse (transcripts/interaction/features) / Behaviour (participation/actions) / Evaluation (performance scores/perceptions)"
Data,Level of data source,"Individual-level / Peer-level (dyad) / Group-level"
Analytic techniques,Type of analysis,"Statistical analysis / Learning analytics / Qualitative analysis"
Analytic techniques,Specific techniques,"Specific analytic techniques used (e.g. t-test, discourse analysis, social network analysis)"
Effects,Learning process dimensions,"Cognitive / Affective–motivational / Metacognitive / Social–interactive"
Effects,Outcome-level effects,"Learning performance/gains or artefact quality findings"
Effects,Challenges/negative effects,"Any challenges or negative effects reported in Results or Discussion"
